"foodType","searchKeyword","displayKeyword"
"가공식품","과실주","undefined"
"가공식품","위스키","undefined"
"가공식품","초콜릿","undefined"
"가공식품","과.채가공품","undefined"
"가공식품","치즈","undefined"
"가공식품","잼","undefined"
"가공식품","빵류","undefined"
"가공식품","식물성크림","undefined"
"가공식품","유크림","undefined"
"가공식품","버터","undefined"
"가공식품","당류가공품","undefined"
"가공식품","견과","undefined"
"가공식품","밀가루","undefined"
"가공식품","과자","undefined"
"가공식품","수산물가공품","undefined"
"가공식품","두류가공품","undefined"
"가공식품","과.채주스","undefined"
"가공식품","농축과.채즙","undefined"
"가공식품","만두","undefined"
"가공식품","소스","undefined"
"가공식품","올리브유","undefined"
"가공식품","우유","undefined"
"가공식품","케첩","undefined"
"가공식품","마요네즈","undefined"
"가공식품","소금","undefined"
"가공식품","발효유","undefined"
"가공식품","분쇄가공육제품","undefined"
"가공식품","분유","undefined"
"가공식품","아이스크림","undefined"
"식물성","커피원두","undefined"
"식물성","카카오원두","undefined"
"식물성","냉동","냉동 농산물" 
"식물성","밀","곡류"
"식물성","메밀","곡류" 
"식물성","호밀","곡류" 
"식물성","옥수수","곡류" 
"건강기능식품","추출물","건강기능식품 및 원료"
"건강기능식품","복합영양소제품","건강기능식품 및 원료"
"건강기능식품","영양소,기능성복합제품","건강기능식품 및 원료"
"건강기능식품","유지","건강기능식품 및 원료"
"건강기능식품","엠에스엠","건강기능식품 및 원료"
"건강기능식품","올리고당","건강기능식품 및 원료"
"기구및용기포장","도자기제","식품용 도자기제 제품"
"기구및용기포장","금속제","식품용 금속제 제품"
"기구및용기포장","불소수지","식품용 불소수지 제품"
"기구및용기포장","폴리에틸렌","식품용 폴리에틸렌 제품"
"기구및용기포장","폴리프로필렌","식품용 폴리프로필렌 제품"
